"p","q","n","k","AIC","BIC","adj_R2"
0,0,200,2,1031.72636486413,1041.62131696377,-0.00286433767477412
0,1,200,3,1030.84768402231,1044.04095348851,0.00644897450281579
0,2,200,4,1031.430622077,1047.92220890974,0.00843036269827335
0,3,200,5,1032.61315290631,1052.4030571056,0.00741074836375566
0,4,200,6,1034.52195210729,1057.61017367313,0.0027491629878682
1,0,200,3,867.18549370073,880.378763166922,0.561668940535014
1,1,200,4,868.117376091682,884.608962924422,0.561779175058554
1,2,200,5,869.217846684053,889.007750883341,0.561508510467237
1,3,200,6,863.084289179966,886.172510745803,0.576813061898286
1,4,200,7,864.825869276063,891.212408208447,0.575169661323419
2,0,200,4,863.727873393746,880.219460226486,0.571292256422037
2,1,200,5,863.547244007748,883.337148207036,0.573766469338375
2,2,200,6,864.021580576607,887.109802142443,0.5748251600471
2,3,200,7,857.773379976692,884.159918909076,0.58988917025902
2,4,200,8,859.768515144788,889.45337144372,0.587763203789664
3,0,200,5,844.062688085205,863.852592284493,0.613332708842087
3,1,200,6,839.848940329214,862.93716189505,0.623229114771484
3,2,200,7,839.086400408544,865.472939340928,0.626472159319257
3,3,200,8,834.972251757096,864.657108056029,0.635831520839147
3,4,200,9,836.924849572401,869.908023237881,0.634011633108175
4,0,200,6,846.042907194135,869.131128759972,0.611378016821706
4,1,200,7,841.796402698739,868.182941631123,0.621376407015707
4,2,200,8,840.852467131306,870.537323430238,0.624965623565459
4,3,200,9,836.912025900569,869.89519956605,0.634035098929429
4,4,200,10,838.868653267221,875.150144299249,0.632188741235141
